Дата,Открытие,Закрытие,Макс,Мин
10/4/2018,115550,115680,115550,115660
10/4/2018,115670,115700,115610,115650
10/4/2018,115650,115660,115580,115660
10/4/2018,115660,115660,115600,115640
10/4/2018,115640,115650,115600,115640
10/4/2018,115630,115660,115590,115640
10/4/2018,115630,115640,115520,115550
10/4/2018,115560,115570,115430,115480
10/4/2018,115470,115480,115420,115440
10/4/2018,115450,115520,115430,115510
10/4/2018,115520,115530,115430,115440
10/4/2018,115420,115520,115410,115500
10/4/2018,115480,115480,115270,115290
10/4/2018,115290,115330,115200,115210
10/4/2018,115210,115260,115130,115170
10/4/2018,115160,115260,115130,115220
10/4/2018,115210,115230,115150,115220
10/4/2018,115210,115220,115140,115160
10/4/2018,115150,115180,115090,115140
10/4/2018,115130,115230,115110,115210
10/4/2018,115220,115270,115170,115190
10/4/2018,115180,115180,115070,115150
10/4/2018,115140,115190,115100,115180
10/4/2018,115180,115190,115050,115120
10/4/2018,115130,115300,115110,115300
10/4/2018,115290,115350,115230,115270
10/4/2018,115270,115350,115220,115350
10/4/2018,115350,115410,115320,115410
10/4/2018,115410,115420,115370,115380
10/4/2018,115380,115400,115330,115350
10/4/2018,115330,115420,115310,115370
10/4/2018,115350,115450,115290,115370
10/4/2018,115380,115460,115360,115420
10/4/2018,115420,115490,115390,115430
10/4/2018,115440,115530,115390,115510
10/4/2018,115530,115530,115450,115470
10/4/2018,115480,115510,115410,115490
10/4/2018,115490,115500,115320,115320
10/4/2018,115320,115330,115250,115260
10/4/2018,115250,115260,115150,115170
10/4/2018,115180,115230,115170,115200
10/4/2018,115190,115240,115150,115230
10/4/2018,115230,115280,115170,115180
10/4/2018,115190,115220,115140,115220
10/4/2018,115230,115260,115130,115140
10/4/2018,115140,115180,115120,115140
10/4/2018,115130,115180,115120,115160
10/4/2018,115160,115170,115070,115100
10/4/2018,115100,115160,115080,115150
10/4/2018,115150,115180,115100,115160
10/4/2018,115150,115180,115100,115100
10/4/2018,115100,115140,115060,115090
10/4/2018,115100,115180,115080,115160
